run_name,subject_id,samples,mae,true_mean,pred_mean
residual_transformer_fixed_age_split_seed2025,group02_subject_10,1320,0.2677053428057468,2.8854166666666665,2.8609020545627133
residual_transformer_fixed_age_split_seed2025,group02_subject_16,2090,0.28664554203526255,2.852392344497608,2.9988326736614463
residual_transformer_fixed_age_split_seed2025,group02_subject_20,2459,0.32203584262247537,2.7932086213908094,2.867263587813593
residual_transformer_fixed_age_split_seed2025,group03_subject_11,2523,0.3687033402839446,3.162504954419342,2.8206434872620076
residual_transformer_fixed_age_split_seed2026,group01_subject_08,1613,0.21243620436160518,2.878642281463112,2.890397799510211
residual_transformer_fixed_age_split_seed2026,group01_subject_10,1610,0.3136661196347349,2.8425465838509316,3.089475619422723
residual_transformer_fixed_age_split_seed2026,group01_subject_15,1116,0.3394818523878692,2.6350806451612905,2.875544537352832
residual_transformer_fixed_age_split_seed2026,group01_subject_18,1855,0.24284391698811575,2.8776280323450134,2.914068809545265
residual_transformer_fixed_age_split_seed2026,group02_subject_07,1050,0.24444621199653263,3.0030952380952383,2.978768615495591
residual_transformer_fixed_age_split_seed2026,group02_subject_10,1320,0.2961347419204134,2.8854166666666665,2.9420087610230303
residual_transformer_fixed_age_split_seed2026,group02_subject_16,2090,0.31610631851488324,2.852392344497608,3.017089081495002
residual_transformer_fixed_age_split_seed2026,group02_subject_20,2459,0.33162696946195686,2.7932086213908094,2.8017937323580724
residual_transformer_fixed_age_split_seed2026,group03_subject_11,2523,0.353804498544724,3.162504954419342,2.870094952297929
residual_transformer_fixed_age_split_seed2027,group01_subject_08,1613,0.21430778488636903,2.878642281463112,2.7696263305311684
residual_transformer_fixed_age_split_seed2027,group01_subject_10,1610,0.30746844318342503,2.8425465838509316,3.0686048639487034
residual_transformer_fixed_age_split_seed2027,group01_subject_15,1116,0.4157555923667005,2.6350806451612905,2.996018240528722
residual_transformer_fixed_age_split_seed2027,group01_subject_18,1855,0.2600283669011612,2.8776280323450134,2.945954847464343
residual_transformer_fixed_age_split_seed2027,group02_subject_07,1050,0.3230208530880156,3.0030952380952383,3.0770044079281034
residual_transformer_fixed_age_split_seed2027,group02_subject_10,1320,0.28207439563491127,2.8854166666666665,2.898074148821108
residual_transformer_fixed_age_split_seed2027,group02_subject_16,2090,0.29375713966679917,2.852392344497608,2.963077888420324
