model,metric,mean,ci_low,ci_high
subject_age_mae_gap_residual_transformer_lambda0p8_seed2000,gender_gap,0.058052510558975874,0.00011753714621335907,0.1579846100404601
subject_age_mae_gap_residual_transformer_lambda0p8_seed2000,gender_worst_group_mae,0.3523885623885834,0.3115596494242284,0.3941268425699835
subject_age_mae_gap_residual_transformer_lambda0p8_seed2000,age_gap,0.14380181437142223,0.028861041076255735,0.23622176944551931
subject_age_mae_gap_residual_transformer_lambda0p8_seed2000,age_worst_group_mae,0.38439797178053825,0.35012813712586377,0.4338217431714076
subject_age_mae_gap_residual_transformer_lambda0p8_seed2025,mae,0.2827977950634763,0.23765616822357388,0.3264035079689732
subject_age_mae_gap_residual_transformer_lambda0p8_seed2025,rmse,0.3569595005489124,0.3072251516641854,0.4014995478467276
subject_age_mae_gap_residual_transformer_lambda0p8_seed2025,r2,0.11032798173570733,-0.05508344483496715,0.2505616717009647
subject_age_mae_gap_residual_transformer_lambda0p8_seed2025,gender_gap,0.04324733043690471,0.0,0.11197193104011548
subject_age_mae_gap_residual_transformer_lambda0p8_seed2025,gender_worst_group_mae,0.30561255252901126,0.24491869541601752,0.3561886289634565
subject_age_mae_gap_residual_transformer_lambda0p8_seed2025,age_gap,0.12775394306137447,0.05226852245025375,0.16600329508301764
subject_age_mae_gap_residual_transformer_lambda0p8_seed2025,age_worst_group_mae,0.34748086932713057,0.28965302927946956,0.3780585129110765
subject_age_mae_gap_residual_transformer_lambda0p8_seed2026,mae,0.2883642400417339,0.2446989670573198,0.32732842778514715
subject_age_mae_gap_residual_transformer_lambda0p8_seed2026,rmse,0.36258787582076113,0.3145735084147363,0.4031109492470728
subject_age_mae_gap_residual_transformer_lambda0p8_seed2026,r2,0.07836641581787845,-0.09912496009024963,0.2038640498558351
subject_age_mae_gap_residual_transformer_lambda0p8_seed2026,gender_gap,0.047960716383688734,0.0007027976953863564,0.11116660506226948
subject_age_mae_gap_residual_transformer_lambda0p8_seed2026,gender_worst_group_mae,0.3135497599785611,0.25345635414123535,0.37015510080499636
subject_age_mae_gap_residual_transformer_lambda0p8_seed2026,age_gap,0.13358868385261727,0.05801926976425564,0.1744571347218789
subject_age_mae_gap_residual_transformer_lambda0p8_seed2026,age_worst_group_mae,0.3464837243764748,0.29210840824154305,0.37015510080499636
subject_age_mae_gap_residual_transformer_lambda0p8_seed2027,mae,0.2894779866109516,0.2581926744749284,0.31530327835583566
subject_age_mae_gap_residual_transformer_lambda0p8_seed2027,rmse,0.36753948351597665,0.33693871715116164,0.39292728357120943
subject_age_mae_gap_residual_transformer_lambda0p8_seed2027,r2,0.049305972348390285,-0.23263070333179833,0.24194414447653387
subject_age_mae_gap_residual_transformer_lambda0p8_seed2027,gender_gap,0.037917711100740846,0.0,0.1194328005219149
subject_age_mae_gap_residual_transformer_lambda0p8_seed2027,gender_worst_group_mae,0.3025501735743421,0.27247534830591497,0.3340833205175246
subject_age_mae_gap_residual_transformer_lambda0p8_seed2027,age_gap,0.10877095417577337,0.02685474587736258,0.19279442050984366
subject_age_mae_gap_residual_transformer_lambda0p8_seed2027,age_worst_group_mae,0.3299497555086661,0.2966904148369509,0.38507801230235766
subject_age_mae_gap_residual_transformer_lambda0p8_seed2048,mae,0.2625143941107084,0.22347982603289537,0.2971908717690923
subject_age_mae_gap_residual_transformer_lambda0p8_seed2048,rmse,0.34233276335593826,0.2977582580407253,0.37759482833520686
subject_age_mae_gap_residual_transformer_lambda0p8_seed2048,r2,0.18307526982591707,0.023622344205008347,0.29708883326376884
subject_age_mae_gap_residual_transformer_lambda0p8_seed2048,gender_gap,0.044524568841936785,0.0,0.10102512443963249
subject_age_mae_gap_residual_transformer_lambda0p8_seed2048,gender_worst_group_mae,0.2871825349043197,0.23169632149855046,0.33336205596892804
subject_age_mae_gap_residual_transformer_lambda0p8_seed2048,age_gap,0.12151059819045722,0.06521643256266124,0.15049057694751156
subject_age_mae_gap_residual_transformer_lambda0p8_seed2048,age_worst_group_mae,0.31799436653638236,0.2976964307218802,0.33336205596892804
subject_age_mae_gap_residual_transformer_lambda0p8_seed4096,mae,0.2974223267318342,0.2657630574030141,0.3294357799083093
subject_age_mae_gap_residual_transformer_lambda0p8_seed4096,rmse,0.38646757217142763,0.3527532916072082,0.42254493840221236
