run_seed,model,attribute,attention_bin,age_group,n_samples,n_subjects,window_mae,subject_balanced_mae,gender
2025,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.13445531238209119,0.13467501339086488,male
2025,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.38712447887192125,0.3418105986892844,female
2025,subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.3899141788482666,0.41119784668573817,male
2025,subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.6874226536413636,0.7525339524148055,female
2025,subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.8031604129876664,0.7507223877755905,male
2026,subject_age_gap,age_group,"(1.999, 2.5]","(13.0, 20.0]",1025,3,0.4269586465416885,0.3879166642402662,
2026,subject_age_gap,age_group,"(1.999, 2.5]","(20.0, 22.0]",663,2,0.5631886779992289,0.5684003600965906,
2026,subject_age_gap,age_group,"(1.999, 2.5]","(22.0, 26.0]",1892,3,0.39318389620387784,0.35021870181836495,
2026,subject_age_gap,age_group,"(1.999, 2.5]","(26.0, 44.0]",205,1,0.44495607934347015,0.44495607934347015,
2026,subject_age_gap,age_group,"(2.5, 3.0]","(13.0, 20.0]",2996,3,0.16481155738015676,0.16339484553187492,
2026,subject_age_gap,age_group,"(2.5, 3.0]","(20.0, 22.0]",1717,2,0.153955870335645,0.1589561616891503,
2026,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.17611247654574227,0.17813056242693834,
2026,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.12038806132498504,0.12038806132498504,
2026,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.3198271452454088,0.33168912370036646,
2026,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.28872595308348536,0.2952441229004952,
2026,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.42814813345927444,0.38943731452084807,
2026,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.3414712290704986,0.3414712290704986,
2026,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.4700416456354727,0.6307462734072956,
2026,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.625631752767061,0.625631752767061,
2026,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.7421987931259343,0.8484460975607834,
2026,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.6667583329336983,0.6667583329336983,
2026,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.40729599952697754,0.3766352041500691,female
2026,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.468425400633561,0.51211722427071,male
2026,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.16510030648909335,0.16744476457451626,female
2026,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.1461498559586854,0.15273600704420928,male
2026,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.3819014198769073,0.3447605880621903,female
2026,subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.3406395356366589,0.3422584203873303,male
2026,subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.6127081495342832,0.7402132221291496,female
2026,subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.7498561108290259,0.6381065395323863,male
2027,subject_age_gap,age_group,"(1.999, 2.5]","(13.0, 20.0]",1025,3,0.46718969693998014,0.4079307245639055,
2027,subject_age_gap,age_group,"(1.999, 2.5]","(20.0, 22.0]",663,2,0.5771713652402207,0.5783809708713767,
2027,subject_age_gap,age_group,"(1.999, 2.5]","(22.0, 26.0]",1892,3,0.410397692412201,0.38626932146373666,
2027,subject_age_gap,age_group,"(1.999, 2.5]","(26.0, 44.0]",205,1,0.3731787216372606,0.3731787216372606,
2027,subject_age_gap,age_group,"(2.5, 3.0]","(13.0, 20.0]",2996,3,0.19938364859735058,0.2021600858327883,
2027,subject_age_gap,age_group,"(2.5, 3.0]","(20.0, 22.0]",1717,2,0.19759085543570853,0.19644058423514105,
2027,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.15822317827983698,0.15856541255665652,
2027,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.125927771742338,0.125927771742338,
2027,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.25925644166728995,0.2864309432610804,
2027,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.21515881037339568,0.21966570382933992,
2027,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.3487089809951125,0.32564436237428507,
2027,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.357113888234268,0.357113888234268,
2027,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.46404068776876617,0.5890964649605316,
2027,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.5727024454819528,0.5727024454819529,
2027,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.7040498163856443,0.7554614312897115,
2027,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.6657375471932547,0.6657375471932547,
2027,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.4941356240697654,0.4302266302084394,female
2027,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.403027313773395,0.443727006737435,male
2027,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.19172706316376842,0.1910169529273655,female
2027,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.14582148601275155,0.1516279059389205,male
2027,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.3208745136788364,0.3039973866281977,female
2027,subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.25231068969532183,0.2695622976766194,male
2027,subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.6247290606450553,0.6681957647227131,female
2027,subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.6460266842770932,0.6118805128572037,male
2048,subject_age_gap,age_group,"(1.999, 2.5]","(13.0, 20.0]",1025,3,0.3937668400275998,0.36750734955198566,
2048,subject_age_gap,age_group,"(1.999, 2.5]","(20.0, 22.0]",663,2,0.47332079522030746,0.47663069376217326,
2048,subject_age_gap,age_group,"(1.999, 2.5]","(22.0, 26.0]",1892,3,0.37711835651014625,0.35592909663365324,
2048,subject_age_gap,age_group,"(1.999, 2.5]","(26.0, 44.0]",205,1,0.38051432632818455,0.38051432632818455,
2048,subject_age_gap,age_group,"(2.5, 3.0]","(13.0, 20.0]",2996,3,0.14891862741936351,0.15096765860272418,
2048,subject_age_gap,age_group,"(2.5, 3.0]","(20.0, 22.0]",1717,2,0.1278650824525152,0.1312446779358765,
2048,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.14840145357165632,0.14906048824174156,
2048,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.11236526117553207,0.11236526117553207,
2048,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.252068164126243,0.2888606421538549,
2048,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.3493280024267733,0.33830653676565003,
2048,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.34597810472851165,0.3824648942850355,
2048,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.3345140586664647,0.3345140586664647,
2048,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.40947107395323196,0.5706482113890387,
2048,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.7531356246847856,0.7531356246847856,
2048,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.7773441564841349,0.8527450674417906,
2048,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.762875713620867,0.762875713620867,
2048,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.40680555263197565,0.371848975919179,female
2048,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.388780435065777,0.42433039896479124,male
2048,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.14513968537713207,0.14782525635395452,female
2048,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.12580786163065996,0.12932917315231837,male
2048,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.29712422893893337,0.3140379194184883,female
2048,subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.38849072699334214,0.38029207500116874,male
2048,subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.6057582036413328,0.7143589625949239,female
2048,subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.8116664112503849,0.7510576746377943,male
4096,subject_age_gap,age_group,"(1.999, 2.5]","(13.0, 20.0]",1025,3,0.3694877882701595,0.4121846564844034,
4096,subject_age_gap,age_group,"(1.999, 2.5]","(20.0, 22.0]",663,2,0.41544115813069754,0.41157663087082746,
4096,subject_age_gap,age_group,"(1.999, 2.5]","(22.0, 26.0]",1892,3,0.3589321033395118,0.40404159636020626,
4096,subject_age_gap,age_group,"(1.999, 2.5]","(26.0, 44.0]",205,1,0.27909124769815585,0.27909124769815585,
4096,subject_age_gap,age_group,"(2.5, 3.0]","(13.0, 20.0]",2996,3,0.23390446342677076,0.2221088661422895,
4096,subject_age_gap,age_group,"(2.5, 3.0]","(20.0, 22.0]",1717,2,0.20824975889646943,0.20800155342441434,
4096,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.16889450473448658,0.16683609353643644,
4096,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.14784698009884722,0.14784698009884722,
4096,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.3078766690634693,0.33885950723153124,
4096,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.4796532653272152,0.44040706599010104,
4096,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.38772726848948624,0.4331195745314165,
4096,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.5258425665490422,0.5258425665490422,
