run_name,subject_id,samples,mae,true_mean,pred_mean
visual_baseline_fixed_age_split_seed2000,group02_subject_07,1050,0.23749896957760766,3.0030952380952383,2.9967023645128523
visual_baseline_fixed_age_split_seed2000,group02_subject_10,1320,0.31372601516319043,2.8854166666666665,2.889295667951757
visual_baseline_fixed_age_split_seed2000,group02_subject_16,2090,0.24747819227465032,2.852392344497608,2.9728555208187926
visual_baseline_fixed_age_split_seed2000,group02_subject_20,2459,0.39029901344730583,2.7932086213908094,2.9973634314178303
visual_baseline_fixed_age_split_seed2000,group03_subject_11,2523,0.358777123786512,3.162504954419342,2.851281655482059
visual_baseline_fixed_age_split_seed2025,group01_subject_08,1613,0.19222833529364153,2.878642281463112,2.8203461130287657
visual_baseline_fixed_age_split_seed2025,group01_subject_10,1610,0.26598497977167923,2.8425465838509316,2.986865384830451
visual_baseline_fixed_age_split_seed2025,group01_subject_15,1116,0.2947770113586098,2.6350806451612905,2.780457337697347
visual_baseline_fixed_age_split_seed2025,group01_subject_18,1855,0.2312392718065781,2.8776280323450134,2.8479795556184095
visual_baseline_fixed_age_split_seed2025,group02_subject_07,1050,0.2709652028764997,3.0030952380952383,3.0204325235457645
visual_baseline_fixed_age_split_seed2025,group02_subject_10,1320,0.29028552264878243,2.8854166666666665,2.8284444783673144
visual_baseline_fixed_age_split_seed2025,group02_subject_16,2090,0.259253782290591,2.852392344497608,2.8607581946268037
visual_baseline_fixed_age_split_seed2025,group02_subject_20,2459,0.32997879336257446,2.7932086213908094,2.841792935227514
visual_baseline_fixed_age_split_seed2025,group03_subject_11,2523,0.36323553354457594,3.162504954419342,2.842218569522333
visual_baseline_fixed_age_split_seed2026,group01_subject_08,1613,0.18727768317410018,2.878642281463112,2.8696070404726752
visual_baseline_fixed_age_split_seed2026,group01_subject_10,1610,0.25303110839417264,2.8425465838509316,2.979042261431676
visual_baseline_fixed_age_split_seed2026,group01_subject_15,1116,0.3107217439186616,2.6350806451612905,2.7837741584333466
visual_baseline_fixed_age_split_seed2026,group01_subject_18,1855,0.25502417376741887,2.8776280323450134,2.795569230154197
visual_baseline_fixed_age_split_seed2026,group02_subject_07,1050,0.22511064665658134,3.0030952380952383,2.986916103363037
visual_baseline_fixed_age_split_seed2026,group02_subject_10,1320,0.32329126000404357,2.8854166666666665,2.860442831480142
visual_baseline_fixed_age_split_seed2026,group02_subject_16,2090,0.26957630677656697,2.852392344497608,2.910338153793481
visual_baseline_fixed_age_split_seed2026,group02_subject_20,2459,0.30684833402505685,2.7932086213908094,2.768125632760388
visual_baseline_fixed_age_split_seed2026,group03_subject_11,2523,0.40258181714085517,3.162504954419342,2.784414642064098
visual_baseline_fixed_age_split_seed2027,group01_subject_08,1613,0.20084630489644986,2.878642281463112,2.896854599587901
visual_baseline_fixed_age_split_seed2027,group01_subject_10,1610,0.24663670151870443,2.8425465838509316,2.9726746533968433
visual_baseline_fixed_age_split_seed2027,group01_subject_15,1116,0.3417742769350715,2.6350806451612905,2.8651272007214126
visual_baseline_fixed_age_split_seed2027,group01_subject_18,1855,0.23237577487194955,2.8776280323450134,2.904748959682701
visual_baseline_fixed_age_split_seed2027,group02_subject_07,1050,0.28326004618690126,3.0030952380952383,3.043009669440133
visual_baseline_fixed_age_split_seed2027,group02_subject_10,1320,0.300943893736059,2.8854166666666665,2.891607391473019
