run_seed,model,attribute,attention_bin,gender,n_samples,n_subjects,window_mae,subject_balanced_mae,age_group
2000,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.6899828910827637,0.6899828910827637,"(26.0, 44.0]"
2025,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.3747989491382277,0.36627780746200683,
2025,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.2717328700405812,0.32768385268433736,
2025,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.14470168458687704,0.13926023084371653,
2025,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.1436387950270382,0.14432590341354545,
2025,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.40351938630029355,0.3493022414377,
2025,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.5244417202700475,0.5155032401444031,
2025,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.836658542806452,0.8456394154461156,
2025,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.9338774885704269,0.8020115050507136,
2025,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.34221092131079694,0.36325834525545536,"(13.0, 20.0]"
2025,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.42601684459553946,0.42693390977402235,"(20.0, 22.0]"
2025,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.2872608448939898,0.30559730220862374,"(22.0, 26.0]"
2025,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.32028364088477157,0.32028364088477157,"(26.0, 44.0]"
2025,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.14228065819224625,0.1384610791684361,"(13.0, 20.0]"
2025,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.14841902415698258,0.14887895472817403,"(20.0, 22.0]"
2025,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.1455045715615241,0.13791642343791627,"(22.0, 26.0]"
2025,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.14164867802753023,0.14164867802753023,"(26.0, 44.0]"
2025,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.3191927612754347,0.3198492690809953,"(13.0, 20.0]"
2025,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.436173667665571,0.42056600973942126,"(20.0, 22.0]"
2025,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.49233246781796,0.4602671322258711,"(22.0, 26.0]"
2025,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.4608419456599671,0.4608419456599671,"(26.0, 44.0]"
2025,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.6124623010654261,0.7187002199799267,"(13.0, 20.0]"
2025,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.8143033228422466,0.8143033228422466,"(20.0, 22.0]"
2025,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.9961182934338929,1.0064021164766925,"(22.0, 26.0]"
2025,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.6759573527744838,0.6759573527744838,"(26.0, 44.0]"
2026,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.4028744918179799,0.3618013657620902,
2026,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.2861450719554522,0.34316016997666826,
2026,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.19738846072970434,0.19266210032727846,
2026,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.15603383796303025,0.15298638070836643,
2026,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.3621733948931716,0.3217147837763131,
2026,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4448579296184953,0.4334869590953632,
2026,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.7262064509921604,0.7375747763440733,
2026,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7911168141151542,0.6537641852167774,
2026,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3713053314860274,0.33463950745469484,"(13.0, 20.0]"
2026,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.5068169826835529,0.5042794216148959,"(20.0, 22.0]"
2026,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.2843990029794721,0.2811694615279359,"(22.0, 26.0]"
2026,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.34430295432486185,0.34430295432486185,"(26.0, 44.0]"
2026,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.18391808521286032,0.18388039370783027,"(13.0, 20.0]"
2026,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.20320399625397173,0.19361032526200458,"(20.0, 22.0]"
2026,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.1768765065291177,0.16865446294905004,"(22.0, 26.0]"
2026,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.17010652359411993,0.17010652359411993,"(26.0, 44.0]"
2026,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.289557495265427,0.3115118385060251,"(13.0, 20.0]"
2026,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.33714967919513583,0.31566297271061095,"(20.0, 22.0]"
2026,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.45050009771085403,0.43322181717809344,"(22.0, 26.0]"
2026,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.3652226674703904,0.3652226674703904,"(26.0, 44.0]"
2026,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.5245267247209454,0.6448013072879754,"(13.0, 20.0]"
2026,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.5945533890473215,0.5945533890473216,"(20.0, 22.0]"
2026,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.8743460593653507,0.9328559305257783,"(22.0, 26.0]"
2026,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.4646627221788679,0.4646627221788679,"(26.0, 44.0]"
2027,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.41757891850299145,0.414909971915179,
2027,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3174222380097149,0.32103747424891266,
2027,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.2017824384275564,0.19687748804624505,
2027,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.16290907807203245,0.1620261101287532,
2027,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.30569383120207194,0.29211693614135315,
2027,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4163546140026894,0.42234013653177865,
2027,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.6402430664409291,0.6904968626690225,
2027,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7396081668227467,0.7496914980056523,
2027,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3900509034133539,0.4081659797073798,"(13.0, 20.0]"
2027,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.43534376502576455,0.43173835172833286,"(20.0, 22.0]"
2027,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.34920833466168943,0.35709185185441067,"(22.0, 26.0]"
2027,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.2933220560957746,0.2933220560957746,"(26.0, 44.0]"
2027,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.22904597933047285,0.2242676889827494,"(13.0, 20.0]"
2027,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.18400699035608983,0.1815926801795742,"(20.0, 22.0]"
2027,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.1504413374628401,0.1541863100431579,"(22.0, 26.0]"
2027,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.16879590122685956,0.16879590122685956,"(26.0, 44.0]"
2027,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.2396185855173694,0.2503760572605028,"(13.0, 20.0]"
2027,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.40010699443519115,0.37915279710067856,"(20.0, 22.0]"
2027,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.34833177278340455,0.34968248311603434,"(22.0, 26.0]"
2027,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.46124081111248627,0.46124081111248627,"(26.0, 44.0]"
2027,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.44172412098044217,0.54488431332914,"(13.0, 20.0]"
2027,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.8115239708047164,0.8115239708047164,"(20.0, 22.0]"
2027,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.7632576432384428,0.8295526116898196,"(22.0, 26.0]"
2027,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.645696953364781,0.645696953364781,"(26.0, 44.0]"
2048,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.40347278652420965,0.35193107511168525,
2048,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.29247076915718656,0.3280809897555439,
2048,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.185733670152204,0.1821291406104172,
2048,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.1611199690933779,0.1582656228517059,
2048,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.3580496408972323,0.3137872773863551,
2048,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.47855696738905207,0.48292955949671157,
2048,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.7573037460596874,0.7657643252332397,
2048,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.9119123264924803,0.7813287244438274,
2048,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.37939604642914565,0.33645613719243345,"(13.0, 20.0]"
2048,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.42351553055315894,0.42504637331080425,"(20.0, 22.0]"
2048,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.322932531289268,0.31997486163519623,"(22.0, 26.0]"
2048,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.27644367683224563,0.27644367683224563,"(26.0, 44.0]"
2048,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.19129073763084667,0.19208355976468094,"(13.0, 20.0]"
2048,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.174207618504537,0.17007061643857974,"(20.0, 22.0]"
2048,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.16462821494189253,0.15926272400576358,"(22.0, 26.0]"
2048,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.17339162802912794,0.17339162802912794,"(26.0, 44.0]"
2048,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.2592955698003423,0.2813652363573315,"(13.0, 20.0]"
2048,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.3467986276373267,0.3313584535469682,"(20.0, 22.0]"
2048,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.4603623824059529,0.4431899750111454,"(22.0, 26.0]"
2048,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.495129801608898,0.495129801608898,"(26.0, 44.0]"
2048,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.54217263141481,0.6619991960217111,"(13.0, 20.0]"
2048,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.6392687370902613,0.6392687370902614,"(20.0, 22.0]"
2048,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.9424555086698688,0.9815505826054455,"(22.0, 26.0]"
2048,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.7293853146689279,0.7293853146689279,"(26.0, 44.0]"
4096,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.39316201635153897,0.36595296007568323,
4096,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.2943160999588102,0.322765617185891,
4096,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.19382459076857844,0.18913872401979326,
4096,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.148323630325329,0.14732759365016604,
4096,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.34723191865578223,0.3170463794739631,
4096,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4038678913359429,0.391187549859041,
4096,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.6617408092575844,0.7171050515887744,
4096,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7452949970515806,0.7054139101236944,
4096,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.35287744242970537,0.3470132697284243,"(13.0, 20.0]"
4096,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.4190953169832762,0.41524466947577465,"(20.0, 22.0]"
4096,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.32029232023634313,0.3112527622323209,"(22.0, 26.0]"
4096,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.35872717717798747,0.35872717717798747,"(26.0, 44.0]"
4096,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.19809611529629126,0.1940577647134185,"(13.0, 20.0]"
4096,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.16637784752931856,0.16194376954731354,"(20.0, 22.0]"
4096,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.17810125553861578,0.1728936071610827,"(22.0, 26.0]"
4096,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.15207347035112703,0.15207347035112703,"(26.0, 44.0]"
4096,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.25325517549415943,0.26405345039027345,"(13.0, 20.0]"
4096,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.35498408135026693,0.34221063399298934,"(20.0, 22.0]"
4096,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.42503734247979935,0.42633054430013767,"(22.0, 26.0]"
4096,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.32026767436368964,0.32026767436368964,"(26.0, 44.0]"
4096,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.5192590349971657,0.6015787326281344,"(13.0, 20.0]"
4096,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.7920062165511282,0.7920062165511281,"(20.0, 22.0]"
4096,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.7684170061447582,0.8450249506360182,"(22.0, 26.0]"
4096,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.4950485570090158,0.4950485570090158,"(26.0, 44.0]"
7000,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.4475919271951698,0.4215933270778156,
7000,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3853357694302386,0.3717922465827826,
7000,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.19185167065886563,0.18079202763263336,
7000,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.15255768528543256,0.15836966881670358,
7000,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.2848672939335696,0.27988691174336106,
7000,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.41722655934133346,0.4207337119324424,
7000,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.5178523569396047,0.6137476482350103,
7000,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.6318684727398317,0.6625640334185693,
7000,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3784400418909585,0.38346016327930327,"(13.0, 20.0]"
7000,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.44765406280621145,0.44440510295164276,"(20.0, 22.0]"
7000,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.440232902702267,0.42132821977712825,"(22.0, 26.0]"
7000,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.3417613471426615,0.3417613471426615,"(26.0, 44.0]"
7000,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.20723326565904196,0.19538508655606868,"(13.0, 20.0]"
7000,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.19370454511603577,0.19067599733175253,"(20.0, 22.0]"
7000,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.15744185318176215,0.15457348368553067,"(22.0, 26.0]"
7000,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.12863346685760776,0.12863346685760776,"(26.0, 44.0]"
7000,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.23849407039158085,0.2608602791133183,"(13.0, 20.0]"
7000,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.40885273460298777,0.3770438508114341,"(20.0, 22.0]"
7000,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.31749269123342827,0.31779418829880096,"(22.0, 26.0]"
7000,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.4514715023982672,0.4514715023982672,"(26.0, 44.0]"
7000,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.41980495665333056,0.530586852550902,"(13.0, 20.0]"
7000,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.6993585511257774,0.6993585511257774,"(20.0, 22.0]"
7000,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.6036578602478152,0.7054581538091399,"(22.0, 26.0]"
7000,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.563325868334089,0.563325868334089,"(26.0, 44.0]"
8192,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.4805887958802373,0.43696824319328487,
8192,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3187096859279432,0.3786268767729726,
8192,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.18129905820066153,0.17415104091936195,
8192,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.1477200073541095,0.15099213932945496,
8192,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.31359818454162314,0.29893084038773815,
8192,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4020339996192106,0.39980219013800133,
8192,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.6222808948670975,0.6797531135093172,
8192,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7076161708404769,0.6161619754025559,
8192,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.44867337529252216,0.4130738007955073,"(13.0, 20.0]"
8192,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.47105034480087715,0.46883774608879314,"(20.0, 22.0]"
8192,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.35909575891797185,0.379598462959058,"(22.0, 26.0]"
8192,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.44199780603734456,0.44199780603734456,"(26.0, 44.0]"
8192,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.20533471981259946,0.20149229896503804,"(13.0, 20.0]"
8192,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.16596823399609859,0.1649413044792311,"(20.0, 22.0]"
