run_seed,attribute,attention_bin,window_mae_gap_baseline,window_mae_gap_subject_gender_gap,subject_balanced_mae_gap_baseline,subject_balanced_mae_gap_subject_gender_gap,window_gap_reduction,subject_balanced_gap_reduction
2026,age_group,"(1.999, 2.5]",0.1411486896094873,0.16251402835869105,0.1409557368139393,0.16963991416020108,-0.021365338749203766,-0.028684177346261774
2026,age_group,"(2.5, 3.0]",0.07177487726508211,0.0330974726598518,0.059525953828078015,0.024955862312954546,0.03867740460523031,0.03457009151512347
2026,age_group,"(3.0, 3.5]",0.1553550489856408,0.16094260244542702,0.17129005176307066,0.12170997867206834,-0.005587553459786232,0.04958007309100232
2026,age_group,"(3.5, 4.75]",0.36979836054270854,0.4096833371864828,0.2902722600905423,0.4681932083469104,-0.03988497664377427,-0.17792094825636812
2026,gender,"(1.999, 2.5]",0.17240084830749997,0.1850422416296289,0.03415972081837848,0.0498194846153992,-0.012641393322128935,-0.01565976379702072
2026,gender,"(2.5, 3.0]",0.05549047181705935,0.04135462276667409,0.048255962425603455,0.03967571961891203,0.014135849050385257,0.008580242806691424
2026,gender,"(3.0, 3.5]",0.07892589698906721,0.08268453472532372,0.11594447599057223,0.11177217531905015,-0.0037586377362565093,0.004172300671522078
2026,gender,"(3.5, 4.75]",0.1760074056616452,0.06491036312299381,0.030178602460967374,0.08381059112729594,0.11109704253865138,-0.05363198866632857
2027,age_group,"(1.999, 2.5]",0.20840997090908192,0.15020958730597017,0.20429536328450754,0.13841629563255825,0.05820038360311175,0.06587906765194929
2027,age_group,"(2.5, 3.0]",0.0805965146593067,0.07860464186763275,0.08592976773581262,0.07008137893959152,0.0019918727916739543,0.015848388796221108
2027,age_group,"(3.0, 3.5]",0.23671534484951617,0.22162222559511688,0.23162417419092107,0.21086475385198344,0.015093119254399295,0.02075942033893763
2027,age_group,"(3.5, 4.75]",0.3035952805495653,0.3697998498242742,0.2316044926353391,0.28466829836067964,-0.06620456927470891,-0.05306380572534053
2027,gender,"(1.999, 2.5]",0.2989243450926361,0.17952037666132759,0.16983307930573854,0.12952029938680004,0.11940396843130852,0.0403127799189385
2027,gender,"(2.5, 3.0]",0.06497258622536839,0.03887336035552394,0.06216315629449465,0.03485137791749185,0.02609922586984445,0.0273117783770028
2027,gender,"(3.0, 3.5]",0.12090937183693307,0.11066078280061747,0.15906442935495269,0.1302232003904255,0.010248589036315592,0.028841228964527177
2027,gender,"(3.5, 4.75]",0.1380235931317263,0.09936510038181756,0.10921371821789072,0.05919463533662972,0.038658492749908735,0.050019082881261
2028,age_group,"(1.999, 2.5]",0.08275094146238743,0.08020249507945165,0.08091704388335325,0.04596765742546893,0.002548446382935776,0.03494938645788431
2028,age_group,"(2.5, 3.0]",0.0574507067894455,0.05234804118410352,0.047251030603471716,0.05056778027610956,0.005102665605341977,-0.003316749672637842
2028,age_group,"(3.0, 3.5]",0.11309668944830104,0.12434600896672943,0.09411539434475674,0.1087820115976263,-0.011249319518428391,-0.014666617252869552
2028,age_group,"(3.5, 4.75]",0.2126376452453438,0.3223950306842165,0.2519064266628449,0.3322268998452982,-0.1097573854388727,-0.08032047318245328
2028,gender,"(1.999, 2.5]",0.018777843682113105,0.13202498115248745,0.030215002009508773,0.05032418265881272,-0.11324713747037435,-0.020109180649303948
2028,gender,"(2.5, 3.0]",0.013018300875477506,0.018372656477410376,0.006342558525343156,0.006919187853496045,-0.00535435560193287,-0.0005766293281528889
2028,gender,"(3.0, 3.5]",0.04539371118836932,0.04746997212813597,0.02448858441802676,0.06948092507006437,-0.00207626093976665,-0.04499234065203761
2028,gender,"(3.5, 4.75]",0.03829858994279056,0.03896713344540037,0.08628642455121738,0.02906465413907089,-0.0006685435026098085,0.05722177041214649
